size,cells,avg_ms,stdev_ms
11,121,0.06558999884873629,0.014690480690291047
21,441,0.15688000712543726,0.006807607501404927
31,961,0.32027997076511383,0.007604565211039082
41,1681,0.553349987603724,0.009542669095786183
51,2601,0.856619980186224,0.02027244309334615
71,5041,1.6906399745494127,0.04832286223521061
101,10201,3.5539499949663877,0.1907215539936255
