size,avg_path_length,avg_nodes_explored,avg_runtime_ms,stdev_runtime_ms
11,16.2,53.95,0.03453998360782862,0.006983935014033054
21,53.7,164.4,0.10039499029517174,0.025137698824731894
31,115.8,322.8,0.20544996950775385,0.058665481806747466
41,238.9,575.75,0.3490350325591862,0.11951824945155962
51,318.8,892.7,0.5633800057694316,0.14750662059139572
71,610.1,1539.95,1.0530399507842958,0.46438859557501494
101,1178.1,3238.95,2.201044966932386,0.7416651560540127
